name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,host_is_superhost,property_type,room_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
"Beautiful 4BD/2BA Gem! Near airport, city, subway!",27,10,2,1431134,Bruno,3587,within an hour,100,0,Condominium,Entire home/apt,210,300,125,3,30
Private room in single family house,11,9,3,4472902,Ernesto,3189,within a few hours,100,0,House,Private room,95,500,30,3,1125
Top floor cozy apartment,4,9,3,7772875,Ana,2972,within an hour,96,0,Apartment,Entire home/apt,119,300,75,2,1125
Perfect for your E Boston layover,35,9,3,41542719,Ivan,2224,within an hour,100,0,Apartment,Private room,65,100,10,1,1125
Lux Boston 2 BR Apt near train,15,10,2,44617326,Caroline,2189,within an hour,100,0,Apartment,Entire home/apt,250,250,95,1,1125
71-1 Minutes to Boston-Near Beach,49,8,3,6331373,Quinn-May,3050,within an hour,100,0,House,Private room,68,100,20,1,180
Renovated 1 Bed near Airport,1,6,3,25716111,Eric,2445,within an hour,100,0,Apartment,Entire home/apt,95,250,69,4,13
A cozy room close to Downtown,22,8,3,42333465,Dan,2216,within an hour,100,0,Apartment,Private room,80,100,25,1,1125
Elegant & Classy Apartment in Boston,8,10,3,14685544,Susie & Mike,2702,within an hour,100,0,Apartment,Entire home/apt,115,100,50,1,27
Cozy apartment,25,8,3,7772875,Ana,2972,within an hour,96,0,Apartment,Entire home/apt,145,300,75,2,1125
69-3 Minutes to Boston-Near Beach,41,8,3,6331373,Quinn-May,3050,within an hour,100,0,House,Private room,64,100,20,1,180
Warm 1 Bedroom Near Airport,1,8,3,5275817,Leah,3121,within a few hours,100,0,Apartment,Entire home/apt,63,500,50,1,1125
City and Harbor views,39,9,3,10545148,Perla,2370,within a few hours,91,0,Apartment,Entire home/apt,189,250,50,2,1125
Eagle Hill Cozy Apartment,3,7,3,24273802,Eris,2484,within a few hours,100,0,Apartment,Entire home/apt,128,100,35,2,15
Amazing Harbor View w/Private Deck,13,8,3,5618949,Alan,3097,within an hour,100,0,Apartment,Entire home/apt,144,100,40,2,1125
"Walk to T,Beach,Gd eats, 5 rooms",52,9,3,5715872,Joan,3090,within an hour,100,0,House,Entire home/apt,112,185,50,2,30
69-5 Minutes to Boston - Near Beach,42,8,3,6331373,Quinn-May,3050,within an hour,100,0,House,Private room,68,100,20,1,1125
Harborside Home Next 2 Logan/Train/Historic Boston,16,10,3,15589117,Linda & Theresa,2680,within an hour,100,0,Apartment,Entire home/apt,150,300,75,2,1125
Cozy room near LoganAirport & City!,22,9,3,45928122,Laura,2172,within a day,100,0,Apartment,Private room,65,95,10,1,4
Lux Boston 2 BR Apt near train #2,1,10,1,44617326,Caroline,2189,within an hour,100,0,Apartment,Entire home/apt,250,250,95,1,1125
Harbor View 1BR Private Deck Near Airport & Trains,3,7,3,5618949,Alan,3097,within an hour,100,0,Apartment,Entire home/apt,174,100,40,2,1125
A sunny room close to Airport,25,9,3,42333465,Dan,2216,within an hour,100,0,Apartment,Private room,95,150,35,1,1125
